,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],94398,4,"[22, 23, 15]",6.083333333333333
1,[19.10791367  5.0647482  18.76258993 21.0647482 ],90915,27,"[4, 11, 22]",6.666666666666667
2,[ 6.44604317 15.07913669 25.55395683 16.92086331],90931,18,"[14, 14, 18]",6.083333333333333
3,[15.07913669 32.92086331  5.0647482  10.9352518 ],111541,5,"[14, 34, 11]",6.166666666666667
4,[17.38129496 14.15827338 29.23741007  3.22302158],85073,7,"[19, 12, 26]",5.916666666666667
5,[24.17266187 29.23741007  6.90647482  3.68345324],86784,8,"[15, 26, 15]",5.833333333333333
6,[20.94964029 21.52517986 16.          5.52517986],92465,12,"[8, 28, 16]",6.25
7,[32.92086331 15.07913669 14.15827338  1.84172662],111983,4,"[34, 14, 12]",6.416666666666667
8,[14.15827338  9.20863309 34.64748201  5.98561151],106049,13,"[12, 20, 19]",6.25
9,[ 0.92086331 32.46043165 18.30215827 12.31654676],85492,8,"[2, 33, 21]",5.666666666666667
10,[20.14388489 15.07913669  0.92086331 27.85611511],94756,23,"[25, 14, 2]",6.333333333333333
11,[26.9352518   4.60431655 31.07913669  1.38129496],116908,3,"[21, 10, 30]",6.166666666666667
12,[14.15827338 26.9352518  18.76258993  4.14388489],103205,9,"[12, 21, 22]",5.75
13,[11.85611511  5.52517986 40.63309353  5.98561151],94729,13,"[7, 12, 32]",5.666666666666667
14,[36.48920863  9.66906475  4.60431655 13.23741007],100708,10,"[23, 21, 10]",6.0
15,[16.         31.53956835  5.98561151 10.47482014],106784,4,"[16, 31, 13]",6.166666666666667
16,[ 1.84172662 27.85611511 17.38129496 16.92086331],101737,18,"[4, 23, 19]",6.083333333333333
17,[15.07913669 12.31654676 28.31654676  8.28776978],75853,18,"[14, 8, 24]",5.666666666666667
18,[25.55395683 22.90647482 11.85611511  3.68345324],93953,8,"[18, 31, 7]",5.916666666666667
19,[ 4.60431655 44.31654676  5.0647482  10.01438849],101327,3,"[10, 40, 11]",6.25
20,[15.07913669 22.90647482 25.09352518  0.92086331],106900,2,"[14, 31, 17]",5.833333333333333
21,[15.53956835 31.53956835  3.68345324 13.23741007],79488,10,"[15, 31, 8]",6.0
22,[18.76258993 14.61870504 16.46043165 14.15827338],102667,12,"[22, 13, 17]",6.083333333333333
23,[40.63309353 18.76258993  2.30215827  2.30215827],126528,5,"[32, 22, 5]",6.083333333333333
24,[10.9352518  19.68345324 29.69784173  3.68345324],101791,8,"[5, 24, 27]",5.833333333333333
25,[ 7.36690647 21.98561151 23.25179856 11.39568345],100800,6,"[16, 29, 13]",5.75
26,[13.69784173 10.01438849 32.46043165  7.82733813],86341,17,"[11, 3, 33]",5.833333333333333
27,[31.53956835  6.44604317 11.85611511 14.15827338],85203,12,"[31, 14, 7]",6.083333333333333
28,[36.94964029 21.52517986  3.68345324  1.84172662],91912,4,"[24, 28, 8]",5.916666666666667
29,[ 0.92086331 26.01438849 33.38129496  3.68345324],74744,8,"[2, 19, 35]",5.666666666666667
